0 0.16437 0.033054 0.866941 -0.068091 0.001144 0.019775 -0.036359 -0.070264 0.015479	
1 0.163383 -0.048413 0.867266 -0.068344 0.000564 0.019532 -0.038358 -0.070649 0.006501
2 0.085461 0.076462 0.878835 -0.070386 0.000535 0.009636 -0.036967 -0.070042 0.015256
3 0.086235 -0.004846 0.885286 -0.070467 0.000441 0.009406 -0.038148 -0.070822 0.006033
4 0.084396 -0.086042 0.881303 -0.07052 0.000714 0.009332 -0.039556 -0.070163 -0.002998
5 0.002056 0.135126 0.875663 -0.071075 0.000455 0.000961 -0.038321 -0.068581 0.01836
6 0.002032 0.056569 0.89012 -0.071153 0.000346 0.000717 -0.038374 -0.070472 0.00817
7 0.000605 -0.062062 0.891304 -0.071172 0.000716 0.001036 -0.038848 -0.070424 -0.006044
8 -0.000294 -0.142475 0.878702 -0.071101 0.000734 0.000988 -0.039061 -0.068965 -0.014984
9 -0.086436 0.076703 0.880819 -0.070588 0.000583 -0.00821 -0.03958 -0.069971 0.006102
10 -0.088363 -0.007487 0.887453 -0.070614 0.000526 -0.00825 -0.038548 -0.070792 -0.003189
11 -0.088635 -0.085657 0.883407 -0.07058 0.00107 -0.00848 -0.037858 -0.070009 -0.01276
12 -0.168251 0.039088 0.870328 -0.06875 0.001332 -0.01781 -0.039663 -0.070129 -0.004125
13 -0.170318  -0.042378 0.871287 -0.068681 0.001555 -0.01817 -0.037373 -0.070152 -0.01361
